Done1.
notepad.exe analyzing.. 
['TEST', 'CALL', 'POPA', 'SUB']
['STC', 'SALC', 'JMP', 'CLC']
['SAR', 'ADD', 'LOOPNZ', 'DEC']
['MOV', 'MOV', 'DEC', 'AND']
['SHR', 'CMP', 'JZ', 'MOV']
['SUB', 'XOR', 'PUSH', 'INS']
['MOV', 'JMP', 'PUSH', 'DAA']
['FBLD', 'CMP', 'MOV', 'AND']
['SBB', 'RETF', 'SBB', 'MOV']
['ADD', 'MOV', 'TEST', 'PUSH']
['MOV', 'SAHF', 'SALC', 'ADC']
['ADD', 'ADD', 'LOOPZ', 'ADD']
['PUSH', 'OR', 'FUCOM', 'SCASD']
['CMP', 'OUT', 'AND', 'DEC']
['LEAVE', 'CMP', 'CMP', 'INTO']
['INC', 'AND', 'MOV', 'AND']
['JAE', 'SBB', 'JZ', 'SBB']
['CDQ', 'POP', 'CMP', 'CLD']
['MOV', 'XLAT', 'OR', 'FFREE']
['PUSH', 'MOVSB', 'POP', 'PUSH']
['INC', 'ADC', 'ADD', 'RCR']
['INC', 'CMOVNZ', 'DEC', 'MOV']
['XCHG', 'XCHG', 'FNSTENV', 'POP']
['CALL', 'JMP', 'DB', 'JS']
['STC', 'JG', 'MOVSD', 'MOV']
['MOV', 'CMP', 'ADD', 'LOOPNZ']
['JECXZ', 'PUSH', 'MOV', 'ADD']
['IMUL', 'OUT', 'JMP', 'MOV']
['LES', 'POP', 'XCHG', 'DB']
['AND', 'CMC', 'CMC', 'OR']
['OR', 'OUT', 'IN', 'FMUL']
['WAIT', 'PUSH', 'INC', 'CALL']
['IMUL', 'CALL', 'CALL', 'JNO']
['DAS', 'CMPSD', 'JZ', 'DB']
['AND', 'ADD', 'PUSH', 'OR']
['JZ', 'SUB', 'JZ', 'SUB']
['STI', 'CMC', 'MOV', 'XCHG']
['INC', 'JA', 'JB', 'OR']
['XCHG', 'XCHG', 'XLAT', 'SCASB']
['MOV', 'POPF', 'CDQ', 'MOV']
['LEAVE', 'PUSH', 'JMP', 'DB']
['RETF', 'OR', 'IRET', 'FCOMP']
['XOR', 'ADC', 'ADD', 'PUSH']
['MOV', 'SBB', 'MOVSD', 'DIV']
['XOR', 'POPA', 'POP', 'MOV']
['XCHG', 'MUL', 'ADD', 'SUB']
['LOOPNZ', 'TEST', 'SBB', 'POP']
['AAS', 'DB', 'FBSTP', 'ADD']
['JL', 'SBB', 'DB', 'JG']
['IN', 'STC', 'JG', 'MOVSD']
['ADD', 'INT1', 'ADD', 'FDIV']
['ARPL', 'ADD', 'OUTS', 'PUSH']
['POPF', 'LES', 'JZ', 'DB']
['IN', 'MOV', 'CALL', 'MOV']
['ADD', 'XOR', 'XOR', 'AND']
['DEC', 'INT', 'FICOM', 'JP']
['MOVZX', 'CMP', 'JZ', 'DEC']
['ADC', 'LEA', 'ADD', 'PUSHF']
['ADD', 'RETF', 'SBB', 'STOSD']
['PUSH', 'CALL', 'SUB', 'POPF']
['INC', 'DEC', 'ARPL', 'DEC']
['XOR', 'ADD', 'NOP', 'MOV']
['XCHG', 'XCHG', 'NOP', 'STD']
['ADD', 'MOV', 'PUSH', 'OR']
['AAS', 'PUSH', 'AAS', 'PUSH']
['AND', 'JG', 'SBB', 'TEST']
['SUB', 'DEC', 'POP', 'MOV']
['POP', 'JP', 'ADC', 'ARPL']
['AND', 'PUSHA', 'ADC', 'PUSH']
['IN', 'CMP', 'IMUL', 'INC']
['CALL', 'AND', 'PUSH', 'IN']
['SBB', 'IRET', 'LODS', 'POP']
['ADD', 'INC', 'INC', 'DB']
['XCHG', 'POP', 'SCASD', 'MOV']
['JGE', 'FSTP', 'STI', 'INS']
['INC', 'INS', 'XOR', 'ADD']
['RCL', 'XOR', 'IN', 'JAE']
['MOV', 'JECXZ', 'SCASB', 'JMP']
['MOV', 'PUSHF', 'XCHG', 'CMP']
['AAD', 'MOV', 'DB', 'JMP']
['ADC', 'ROR', 'SALC', 'DEC']
['POP', 'XCHG', 'JBE', 'POPA']
['ADD', 'ADD', 'AAA', 'POP']
['ROL', 'JL', 'FMUL', 'JP']
['JG', 'XOR', 'JNZ', 'JLE']
['ADD', 'AND', 'ROL', 'ADD']
['DB', 'RCL', 'XCHG', 'INC']
['TEST', 'DB', 'DB', 'XCHG']
['SUB', 'OUT', 'POP', 'OR']
['INC', 'OUT', 'AAD', 'ADD']
['TEST', 'XOR', 'POP', 'DEC']
['ADD', 'RET', 'MOV', 'JBE']
['DB', 'JMP', 'JG', 'DEC']
['JGE', 'IN', 'STC', 'PUSH']
